fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
6;0.2;0.33;1.1;0.039;45;126;0.99051;3.31;0.45;11.6;7
6.4;0.105;0.29;1.1;0.035;44;140;0.99142;3.17;0.55;10.7;7
5.8;0.28;0.34;2.2;0.037;24;125;0.98986;3.36;0.33;12.8;8
6.4;0.31;0.5;5.8;0.038;42;111;0.99189;3.18;0.53;11.9;7
6;0.35;0.46;0.9;0.033;9;65;0.98934;3.24;0.35;12.1;4
5.1;0.26;0.34;6.4;0.034;26;99;0.99449;3.23;0.41;9.2;6
6.6;0.28;0.09;10.9;0.051;37;131;0.99566;2.93;0.62;9.5;6
6;0.17;0.3;7.3;0.039;39;104;0.99252;2.91;0.57;11;6
7.3;0.35;0.67;8.3;0.053;10;100;0.9959;3.19;0.5;10.9;5
6;0.26;0.24;1.3;0.053;66;150;0.9924;3.21;0.62;10.4;6
5.4;0.375;0.4;3.3;0.054;29;147;0.99482;3.42;0.52;9.1;5
7;0.17;0.42;1;0.075;19;71;0.99103;3.32;0.62;11.4;6
5.1;0.26;0.33;1.1;0.027;46;113;0.98946;3.35;0.43;11.4;7
5.8;0.36;0.5;1;0.127;63;178;0.99212;3.1;0.45;9.7;5
5.7;0.4;0.35;5.1;0.026;17;113;0.99052;3.18;0.67;12.4;6
6.2;0.76;0.01;3.2;0.041;18;120;0.99026;3.2;0.94;13.7;7
6.1;0.41;0.2;12.6;0.032;54;136;0.99516;2.91;0.43;10.6;6
5.8;0.385;0.25;3.7;0.031;38;122;0.99128;3.2;0.63;11.2;6
6;0.27;0.4;1.7;0.021;18;82;0.9891;3.24;0.95;131.333.333.333.333;6
5.7;0.4;0.35;5.1;0.026;17;113;0.99052;3.18;0.67;12.4;6
5.8;0.36;0.5;1;0.127;63;178;0.99212;3.1;0.45;9.7;5
7;0.24;0.47;1.3;0.043;18;131;0.99176;3.19;0.45;11;6
6.8;0.23;0.48;1.5;0.036;35;165;0.99162;3.18;0.45;11.3;6
6.5;0.28;0.34;4.6;0.054;22;130;0.99193;3.2;0.46;12;7
6.4;0.23;0.35;10.3;0.042;54;140;0.9967;3.23;0.47;9.2;5
6;0.34;0.29;6.1;0.046;29;134;0.99462;3.48;0.57;10.7;6
6;0.34;0.29;6.1;0.046;29;134;0.99462;3.48;0.57;10.7;6
6.7;0.22;0.33;1.2;0.036;36;86;0.99058;3.1;0.76;11.4;6
6.4;0.23;0.35;10.3;0.042;54;140;0.9967;3.23;0.47;9.2;5
6;0.32;0.33;9.9;0.032;22;90;0.99258;3.1;0.43;12.1;7
5.8;0.29;0.27;1.6;0.062;17;140;0.99138;3.23;0.35;11.1;6
5.8;0.38;0.26;1.1;0.058;20;140;0.99271;3.27;0.43;9.7;6
5.9;0.32;0.26;1.5;0.057;17;141;0.9917;3.24;0.36;10.7;5
5.6;0.33;0.28;1.2;0.031;33;97;0.99126;3.49;0.58;10.9;6
5.9;0.37;0.3;1.5;0.033;35;95;0.98986;3.36;0.56;12;7
5.6;0.295;0.26;1.1;0.035;40;102;0.99154;3.47;0.56;10.6;6
6.7;0.5;0.36;11.5;0.096;18;92;0.99642;3.11;0.49;9.6;5
6.5;0.28;0.38;7.8;0.031;54;216;0.99154;3.03;0.42;13.1;6
5.3;0.275;0.24;7.4;0.038;28;114;0.99313;3.38;0.51;11;6
5.2;0.405;0.15;1.45;0.038;10;44;0.99125;3.52;0.4;11.6;4
6.8;0.34;0.36;8.9;0.029;44;128;0.99318;3.28;0.35;11.95;7
5.7;0.22;0.25;1.1;0.05;97;175;0.99099;3.44;0.62;11.1;6
6.2;0.28;0.57;1;0.043;50;92;0.99004;3.17;0.36;11.5;6
5.6;0.34;0.25;2.5;0.046;47;182;0.99093;3.21;0.4;11.3;5
4.8;0.29;0.23;1.1;0.044;38;180;0.98924;3.28;0.34;11.9;6
6.6;0.38;0.29;2.4;0.136;15;93;0.99336;3.18;0.6;9.5;5
5.1;0.3;0.3;2.3;0.048;40;150;0.98944;3.29;0.46;12.2;6
4.4;0.54;0.09;5.1;0.038;52;97;0.99022;3.41;0.4;12.2;7
7;0.36;0.35;2.5;0.048;67;161;0.99146;3.05;0.56;11.1;6
6.4;0.33;0.44;8.9;0.055;52;164;0.99488;3.1;0.48;9.6;5
7;0.36;0.35;2.5;0.048;67;161;0.99146;3.05;0.56;11.1;6
6.4;0.33;0.44;8.9;0.055;52;164;0.99488;3.1;0.48;9.6;5
6.2;0.23;0.38;1.6;0.044;12;113;0.99176;3.3;0.73;11.4;5
5.2;0.25;0.23;1.4;0.047;20;77;0.99001;3.32;0.62;11.4;5
6.2;0.35;0.29;3.9;0.041;22;79;0.99005;3.1;0.59;120.666.666.666.667;6
7.1;0.23;0.39;13.7;0.058;26;172;0.99755;2.9;0.46;9;6
7.1;0.23;0.39;13.7;0.058;26;172;0.99755;2.9;0.46;9;6
7.5;0.38;0.33;9.2;0.043;19;116;0.99444;3.08;0.42;11.4;6
6.4;0.35;0.51;7.8;0.055;53;177;0.99502;3.12;0.45;9.6;5
6;0.43;0.34;7.6;0.045;25;118;0.99222;3.03;0.37;11;6
6;0.52;0.33;7.7;0.046;24;119;0.99224;3.04;0.38;11;6
5.5;0.31;0.29;3;0.027;16;102;0.99067;3.23;0.56;11.2;6
5.9;0.22;0.3;1.3;0.052;42;86;0.99069;3.31;0.47;11.55;6
6.2;0.36;0.32;4;0.036;44;92;0.98936;3.2;0.5;13.3;7
6;0.41;0.23;1.1;0.066;22;148;0.99266;3.3;0.47;963.333.333.333.333;5
6.2;0.355;0.35;2;0.046;31;95;0.98822;3.06;0.46;13.6;6
5.7;0.41;0.21;1.9;0.048;30;112;0.99138;3.29;0.55;11.2;6
5.3;0.6;0.34;1.4;0.031;3;60;0.98854;3.27;0.38;13;6
5.8;0.23;0.31;4.5;0.046;42;124;0.99324;3.31;0.64;10.8;6
6.6;0.24;0.33;10.1;0.032;8;81;0.99626;3.19;0.51;9.8;6
6.1;0.32;0.28;6.6;0.021;29;132;0.99188;3.15;0.36;11.45;7
5;0.2;0.4;1.9;0.015;20;98;0.9897;3.37;0.55;12.05;6
6;0.42;0.41;12.4;0.032;50;179;0.99622;3.14;0.6;9.7;5
5.7;0.21;0.32;1.6;0.03;33;122;0.99044;3.33;0.52;11.9;6
5.6;0.2;0.36;2.5;0.048;16;125;0.99282;3.49;0.49;10;6
7.4;0.22;0.26;1.2;0.035;18;97;0.99245;3.12;0.41;9.7;6
6.2;0.38;0.42;2.5;0.038;34;117;0.99132;3.36;0.59;11.6;7
5.9;0.54;0;0.8;0.032;12;82;0.99286;3.25;0.36;8.8;5
6.2;0.53;0.02;0.9;0.035;6;81;0.99234;3.24;0.35;9.5;4
6.6;0.34;0.4;8.1;0.046;68;170;0.99494;3.15;0.5;953.333.333.333.333;6
6.6;0.34;0.4;8.1;0.046;68;170;0.99494;3.15;0.5;953.333.333.333.333;6
5;0.235;0.27;11.75;0.03;34;118;0.9954;3.07;0.5;9.4;6
5.5;0.32;0.13;1.3;0.037;45;156;0.99184;3.26;0.38;10.7;5
4.9;0.47;0.17;1.9;0.035;60;148;0.98964;3.27;0.35;11.5;6
6.5;0.33;0.38;8.3;0.048;68;174;0.99492;3.14;0.5;9.6;5
6.6;0.34;0.4;8.1;0.046;68;170;0.99494;3.15;0.5;9.55;6
6.2;0.21;0.28;5.7;0.028;45;121;0.99168;3.21;1.08;12.15;7
6.2;0.41;0.22;1.9;0.023;5;56;0.98928;3.04;0.79;13;7
6.8;0.22;0.36;1.2;0.052;38;127;0.9933;3.04;0.54;9.2;5
4.9;0.235;0.27;11.75;0.03;34;118;0.9954;3.07;0.5;9.4;6
6.1;0.34;0.29;2.2;0.036;25;100;0.98938;3.06;0.44;11.8;6
5.7;0.21;0.32;0.9;0.038;38;121;0.99074;3.24;0.46;10.6;6
6.5;0.23;0.38;1.3;0.032;29;112;0.99298;3.29;0.54;9.7;5
6.2;0.21;0.29;1.6;0.039;24;92;0.99114;3.27;0.5;11.2;6
6.6;0.32;0.36;8;0.047;57;168;0.9949;3.15;0.46;9.6;5
6.5;0.24;0.19;1.2;0.041;30;111;0.99254;2.99;0.46;9.4;6
5.5;0.29;0.3;1.1;0.022;20;110;0.98869;3.34;0.38;12.8;7
6;0.21;0.38;0.8;0.02;22;98;0.98941;3.26;0.32;11.8;6
